"infrastructure_type","mode_class","mode","intervention_class","intervention","intervention_name","intervention_description","geometry","include","interface","user_entered_parameters","elevation_unit","elevation_default"
"transport","Rail","Rail","New construction","rail_overbridge_flyover_road","Overbridge - flyover road","New road flyover","line",TRUE,"basic",,,
"transport","Rail","Rail","New construction","rail_overbridge_a_road","Overbridge - A road","New A road overbridge","line",TRUE,"basic",,,
"transport","Rail","Rail","New construction","rail_overbridge_b_road","Overbridge - B road","New B road overbridge","line",TRUE,"basic",,,
"transport","Rail","Rail","New construction","rail_overbridge_road","Overbridge - typical road","New typical road overbridge","line",TRUE,"basic",,,
"transport","Rail","Rail","New construction","rail_overbridge_bridleway","Overbridge - Bridleway","New bridleway overbridge","line",TRUE,"basic",,,
"transport","Rail","Rail","New construction","rail_overbridge_footpath","Overbridge - Footpath","New footpath overbridge","line",TRUE,"basic",,,
"transport","Rail","Rail","New construction","rail_overbridge_rail","Overbridge - rail","New rail overbridge","line",TRUE,"basic",,,
"transport","Rail","Rail","New construction","rail_underbridge_road","Underbridge - road","New road underbridge","line",TRUE,"basic",,,
"transport","Rail","Rail","New construction","rail_underbridge_rail","Underbridge - rail","New rail underbridge","line",TRUE,"basic",,,
"transport","Rail","Rail","New construction","rail_green_bridge","Green bridge","New green bridge","line",TRUE,"advanced",,,
"transport","Rail","High speed rail","New construction","hs_line_grade","New high speed line at grade","New high speed line and associated assets at grade","line",TRUE,"basic",,,
"transport","Rail","High speed rail","New construction","hs_line_cutting","New high speed line in a cutting","New high speed line and associated assets in a cutting","line",TRUE,"basic",,,
"transport","Rail","High speed rail","New construction","hs_line_embankment","New high speed line on an embankment","New high speed line and associated assets on an embankment","line",TRUE,"basic",,,
"transport","Rail","High speed rail","New construction","hs_line_bridge","New high speed line on a bridge","New high speed line and associated assets on a bridge","line",TRUE,"basic",,,
"transport","Rail","High speed rail","New construction","hs_line_viaduct","New high speed line on a viaduct","New high speed line on a viaduct including all associated assets","line",TRUE,"basic",,,
"transport","Rail","High speed rail","New construction","hs_line_tunnel_bored","New high speed line in a tunnel (bored)","New high speed line in a bored tunnel including track and earthworks","line",TRUE,"basic",,,
"transport","Rail","High speed rail","New construction","hs_line_tunnel_cut_cover","New high speed line in a tunnel (cut and cover)","New high speed line in a cut and cover tunnel including track and earthworks","line",TRUE,"basic",,,
"transport","Rail","High speed rail","New construction","hs_station_grade","Station - at grade","Additional station at grade","point",TRUE,"basic",,,
"transport","Rail","High speed rail","New construction","hs_station_underground","Station - underground","Additional station below ground","point",TRUE,"basic","elevation","m",-11.6
"transport","Rail","High speed rail","New construction","hs_station_elevated","Station - elevated","Additional station above grade","point",TRUE,"basic","elevation","m",4.5
"transport","Rail","High speed rail","Renewal","hs_ole","Overhead line equipment (OLE) renewal","High speed overhead line renewal","line",TRUE,"advanced",,,
"transport","Active travel","Bicycle","New construction","cycle_lane_painted","New painted cycle lane","New painted cycle lane including associated surfacing","line",TRUE,"basic",,,
"transport","Active travel","Bicycle","New construction","cycle_lane_stepped","New stepped cyle lane","New stepped cyle lane including associated surfacing","line",TRUE,"basic",,,
"transport","Active travel","Bicycle","New construction","cycle_lane_segregated","New segregated cycle lane","New segregated cycle lane including earthworks and drainage","line",TRUE,"basic",,,
"transport","Active travel","Bicycle","New construction","cycle_track_rural","New rural cycle track","New cycle track through a rural location","line",TRUE,"basic",,,
"transport","Active travel","Bicycle","New construction","cycle_track_urban","New urban cycle track","New cycle track through a urban location e.g. park","line",TRUE,"basic",,,
"transport","Active travel","Bicycle","Upgrade","cycle_upgrade_stepped","Upgrade of cycle lane to stepped","Upgrade of cycle lane to stepped from painted","line",TRUE,"advanced",,,
"transport","Active travel","Bicycle","Upgrade","cycle_upgrade_segregated","Upgrade of cycle lane to segregated","Upgrade of cycle lane to segregated from stepped","line",TRUE,"advanced",,,
"transport","Active travel","Bicycle","Upgrade","cycle_upgrade_rail_cycle_path","Upgrade rail line to cycle path","Upgrade from disused rail line to cycle path","line",TRUE,"advanced",,,
"transport","Active travel","Bicycle","New construction","cycle_stands_open","New cycle stands","New cycle stands","point",TRUE,"basic",,,
"transport","Active travel","Bicycle","New construction","cycle_stands_roof","New cycle stands with roof","New cycle stands with roof","point",TRUE,"basic",,,
"transport","Active travel","Bicycle","New construction","cycle_docking_station","New docking station","New docking station for cycle hire scheme","line",TRUE,"basic",,,
"transport","Active travel","Bicycle","New construction","cycle_secure_parking","New secure cycle parking","New on-road enclosed, secure cycle storage","point",TRUE,"advanced",,,
"transport","Road","Local","New construction","local_road","New local road","New local road","line",TRUE,"basic","y",,
"transport","Road","Local","New construction","local_speed_bumps","New speed bumps","New speed bumps","point",TRUE,"basic","y",,
"transport","Road","Local","New construction","local_narrowing","Local road narrowing","New speed restrictions through narrowing","point",TRUE,"basic","y",,
"transport","Active travel","Foot","New construction","foot_road_crossing","New road crossing","New pedestrian road crossing (all types)","point",TRUE,"basic","y",,
"transport","Active travel","Foot","New construction","foot_bridge","New foot bridge","New foot bridge","line",TRUE,"basic","y",,
"transport","Active travel","Foot","New construction","foot_new_path","New footpath","New footpath","line",TRUE,"basic","y",,
"transport","Road","Bus","New construction","bus_shelter","New bus shelter","New bus shelter","point",TRUE,"basic","y",,
"transport","Road","Bus","New construction","bus_stop","New bus stop","New bus stop","point",TRUE,"basic","y",,
"transport","Road","Bus","New construction","bus_lane","New bus lane","New bus lane","line",TRUE,"basic","y",,
